cellid,k,zone,a,Aquifer
2088,1,3,1,Alluvium
2089,1,3,1,Alluvium
2090,1,3,1,Alluvium
2091,1,3,1,Alluvium
2092,1,3,1,Alluvium
2093,1,3,1,Alluvium
2094,1,3,1,Alluvium
2095,1,3,1,Alluvium
2096,1,3,1,Alluvium
2097,1,3,1,Alluvium
2098,1,3,1,Alluvium
2099,1,3,1,Alluvium
2100,1,3,1,Alluvium
2101,1,3,1,Alluvium
2102,1,3,1,Alluvium
2103,1,3,1,Alluvium
2104,1,3,1,Alluvium
2105,1,3,1,Alluvium
2106,1,3,1,Alluvium
2107,1,3,1,Alluvium
2108,1,3,1,Alluvium
2109,1,3,1,Alluvium
2227,1,3,1,Alluvium
2228,1,3,1,Alluvium
2229,1,3,1,Alluvium
2230,1,3,1,Alluvium
2231,1,3,1,Alluvium
2232,1,3,1,Alluvium
2233,1,3,1,Alluvium
2234,1,3,1,Alluvium
2235,1,3,1,Alluvium
2236,1,3,1,Alluvium
2237,1,3,1,Alluvium
2238,1,3,1,Alluvium
2239,1,3,1,Alluvium
2240,1,3,1,Alluvium
2241,1,3,1,Alluvium
2242,1,3,1,Alluvium
2243,1,3,1,Alluvium
2244,1,3,1,Alluvium
2245,1,3,1,Alluvium
2246,1,3,1,Alluvium
2247,1,3,1,Alluvium
2248,1,3,1,Alluvium
2249,1,3,1,Alluvium
2250,1,3,1,Alluvium
2251,1,3,1,Alluvium
2252,1,3,1,Alluvium
2253,1,3,1,Alluvium
2254,1,3,1,Alluvium
2255,1,3,1,Alluvium
2256,1,3,1,Alluvium
2257,1,3,1,Alluvium
2258,1,3,1,Alluvium
2259,1,3,1,Alluvium
2260,1,3,1,Alluvium
2261,1,3,1,Alluvium
2262,1,3,1,Alluvium
2263,1,3,1,Alluvium
2264,1,3,1,Alluvium
2265,1,3,1,Alluvium
2266,1,3,1,Alluvium
2267,1,3,1,Alluvium
2268,1,3,1,Alluvium
2269,1,3,1,Alluvium
2270,1,3,1,Alluvium
2271,1,3,1,Alluvium
2272,1,3,1,Alluvium
2273,1,3,1,Alluvium
2274,1,3,1,Alluvium
2275,1,3,1,Alluvium
2390,1,3,1,Alluvium
2392,1,3,1,Alluvium
2393,1,3,1,Alluvium
2394,1,3,1,Alluvium
2395,1,3,1,Alluvium
2396,1,3,1,Alluvium
2397,1,3,1,Alluvium
2398,1,3,1,Alluvium
2399,1,3,1,Alluvium
2400,1,3,1,Alluvium
2401,1,3,1,Alluvium
2402,1,3,1,Alluvium
2403,1,3,1,Alluvium
2404,1,3,1,Alluvium
2405,1,3,1,Alluvium
2406,1,3,1,Alluvium
2407,1,3,1,Alluvium
2408,1,3,1,Alluvium
2409,1,3,1,Alluvium
2410,1,3,1,Alluvium
2411,1,3,1,Alluvium
2412,1,3,1,Alluvium
2413,1,3,1,Alluvium
2414,1,3,1,Alluvium
2415,1,3,1,Alluvium
2416,1,3,1,Alluvium
2417,1,3,1,Alluvium
2418,1,3,1,Alluvium
2419,1,3,1,Alluvium
2420,1,3,1,Alluvium
2421,1,3,1,Alluvium
2422,1,3,1,Alluvium
2423,1,3,1,Alluvium
2424,1,3,1,Alluvium
2425,1,3,1,Alluvium
2426,1,3,1,Alluvium
2427,1,3,1,Alluvium
2428,1,3,1,Alluvium
2429,1,3,1,Alluvium
2430,1,3,1,Alluvium
2431,1,3,1,Alluvium
2432,1,3,1,Alluvium
2433,1,3,1,Alluvium
2434,1,3,1,Alluvium
2435,1,3,1,Alluvium
2436,1,3,1,Alluvium
2437,1,3,1,Alluvium
2438,1,3,1,Alluvium
2439,1,3,1,Alluvium
2440,1,3,1,Alluvium
2441,1,3,1,Alluvium
2554,1,3,1,Alluvium
2555,1,3,1,Alluvium
2556,1,3,1,Alluvium
2557,1,3,1,Alluvium
2558,1,3,1,Alluvium
2559,1,3,1,Alluvium
2560,1,3,1,Alluvium
2561,1,3,1,Alluvium
2562,1,3,1,Alluvium
2563,1,3,1,Alluvium
2564,1,3,1,Alluvium
2565,1,3,1,Alluvium
2566,1,3,1,Alluvium
2567,1,3,1,Alluvium
2568,1,3,1,Alluvium
2569,1,3,1,Alluvium
2570,1,3,1,Alluvium
2571,1,3,1,Alluvium
2572,1,3,1,Alluvium
2573,1,3,1,Alluvium
2574,1,3,1,Alluvium
2575,1,3,1,Alluvium
2576,1,3,1,Alluvium
2577,1,3,1,Alluvium
2578,1,3,1,Alluvium
2579,1,3,1,Alluvium
2580,1,3,1,Alluvium
2581,1,3,1,Alluvium
2582,1,3,1,Alluvium
2583,1,3,1,Alluvium
2584,1,3,1,Alluvium
2585,1,3,1,Alluvium
2586,1,3,1,Alluvium
2587,1,3,1,Alluvium
2588,1,3,1,Alluvium
2589,1,3,1,Alluvium
2590,1,3,1,Alluvium
2591,1,3,1,Alluvium
2592,1,3,1,Alluvium
2593,1,3,1,Alluvium
2594,1,3,1,Alluvium
2595,1,3,1,Alluvium
2596,1,3,1,Alluvium
2597,1,3,1,Alluvium
2598,1,3,1,Alluvium
2599,1,3,1,Alluvium
2600,1,3,1,Alluvium
2601,1,3,1,Alluvium
2602,1,3,1,Alluvium
2603,1,3,1,Alluvium
2604,1,3,1,Alluvium
2605,1,3,1,Alluvium
2606,1,3,1,Alluvium
2607,1,3,1,Alluvium
2720,1,3,1,Alluvium
2721,1,3,1,Alluvium
2722,1,3,1,Alluvium
2723,1,3,1,Alluvium
2724,1,3,1,Alluvium
2725,1,3,1,Alluvium
2726,1,3,1,Alluvium
2727,1,3,1,Alluvium
2728,1,3,1,Alluvium
2729,1,3,1,Alluvium
2730,1,3,1,Alluvium
2731,1,3,1,Alluvium
2732,1,3,1,Alluvium
2733,1,3,1,Alluvium
2734,1,3,1,Alluvium
2735,1,3,1,Alluvium
2736,1,3,1,Alluvium
2737,1,3,1,Alluvium
2738,1,3,1,Alluvium
2739,1,3,1,Alluvium
2740,1,3,1,Alluvium
2741,1,3,1,Alluvium
2742,1,3,1,Alluvium
2743,1,3,1,Alluvium
2744,1,3,1,Alluvium
2745,1,3,1,Alluvium
2746,1,3,1,Alluvium
2747,1,3,1,Alluvium
2748,1,3,1,Alluvium
2749,1,3,1,Alluvium
2750,1,3,1,Alluvium
2751,1,3,1,Alluvium
2752,1,3,1,Alluvium
2753,1,3,1,Alluvium
2754,1,3,1,Alluvium
2755,1,3,1,Alluvium
2756,1,3,1,Alluvium
2757,1,3,1,Alluvium
2758,1,3,1,Alluvium
2759,1,3,1,Alluvium
2760,1,3,1,Alluvium
2761,1,3,1,Alluvium
2762,1,3,1,Alluvium
2763,1,3,1,Alluvium
2764,1,3,1,Alluvium
2765,1,3,1,Alluvium
2766,1,3,1,Alluvium
2767,1,3,1,Alluvium
2768,1,3,1,Alluvium
2769,1,3,1,Alluvium
2770,1,3,1,Alluvium
2771,1,3,1,Alluvium
2772,1,3,1,Alluvium
2773,1,3,1,Alluvium
2774,1,3,1,Alluvium
2885,1,3,1,Alluvium
2886,1,3,1,Alluvium
2887,1,3,1,Alluvium
2888,1,3,1,Alluvium
2889,1,3,1,Alluvium
2890,1,3,1,Alluvium
2891,1,3,1,Alluvium
2892,1,3,1,Alluvium
2893,1,3,1,Alluvium
2894,1,3,1,Alluvium
2895,1,3,1,Alluvium
2896,1,3,1,Alluvium
2897,1,3,1,Alluvium
2898,1,3,1,Alluvium
2899,1,3,1,Alluvium
2900,1,3,1,Alluvium
2901,1,3,1,Alluvium
2902,1,3,1,Alluvium
2903,1,3,1,Alluvium
2904,1,3,1,Alluvium
2905,1,3,1,Alluvium
2906,1,3,1,Alluvium
2907,1,3,1,Alluvium
2908,1,3,1,Alluvium
2909,1,3,1,Alluvium
2910,1,3,1,Alluvium
2911,1,3,1,Alluvium
2912,1,3,1,Alluvium
2913,1,3,1,Alluvium
2914,1,3,1,Alluvium
2915,1,3,1,Alluvium
2916,1,3,1,Alluvium
2917,1,3,1,Alluvium
2918,1,3,1,Alluvium
2919,1,3,1,Alluvium
2920,1,3,1,Alluvium
2921,1,3,1,Alluvium
2922,1,3,1,Alluvium
2923,1,3,1,Alluvium
2924,1,3,1,Alluvium
2925,1,3,1,Alluvium
2926,1,3,1,Alluvium
2927,1,3,1,Alluvium
2928,1,3,1,Alluvium
2929,1,3,1,Alluvium
2930,1,3,1,Alluvium
2931,1,3,1,Alluvium
2932,1,3,1,Alluvium
2933,1,3,1,Alluvium
2934,1,3,1,Alluvium
2935,1,3,1,Alluvium
2936,1,3,1,Alluvium
2937,1,3,1,Alluvium
2938,1,3,1,Alluvium
2939,1,3,1,Alluvium
2940,1,3,1,Alluvium
3051,1,3,1,Alluvium
3052,1,3,1,Alluvium
3053,1,3,1,Alluvium
3054,1,3,1,Alluvium
3055,1,3,1,Alluvium
3056,1,3,1,Alluvium
3057,1,3,1,Alluvium
3058,1,3,1,Alluvium
3059,1,3,1,Alluvium
3060,1,3,1,Alluvium
3061,1,3,1,Alluvium
3062,1,3,1,Alluvium
3063,1,3,1,Alluvium
3064,1,3,1,Alluvium
3065,1,3,1,Alluvium
3066,1,3,1,Alluvium
3067,1,3,1,Alluvium
3068,1,3,1,Alluvium
3069,1,3,1,Alluvium
3070,1,3,1,Alluvium
3071,1,3,1,Alluvium
3072,1,3,1,Alluvium
3073,1,3,1,Alluvium
3074,1,3,1,Alluvium
3075,1,3,1,Alluvium
3076,1,3,1,Alluvium
3077,1,3,1,Alluvium
3078,1,3,1,Alluvium
3079,1,3,1,Alluvium
3080,1,3,1,Alluvium
3081,1,3,1,Alluvium
3082,1,3,1,Alluvium
3083,1,3,1,Alluvium
3084,1,3,1,Alluvium
3085,1,3,1,Alluvium
3086,1,3,1,Alluvium
3087,1,3,1,Alluvium
3088,1,3,1,Alluvium
3089,1,3,1,Alluvium
3090,1,3,1,Alluvium
3091,1,3,1,Alluvium
3092,1,3,1,Alluvium
3093,1,3,1,Alluvium
3094,1,3,1,Alluvium
3095,1,3,1,Alluvium
3096,1,3,1,Alluvium
3097,1,3,1,Alluvium
3098,1,3,1,Alluvium
3099,1,3,1,Alluvium
3100,1,3,1,Alluvium
3101,1,3,1,Alluvium
3102,1,3,1,Alluvium
3103,1,3,1,Alluvium
3104,1,3,1,Alluvium
3105,1,3,1,Alluvium
3106,1,3,1,Alluvium
3107,1,3,1,Alluvium
3108,1,3,1,Alluvium
3218,1,3,1,Alluvium
3219,1,3,1,Alluvium
3220,1,3,1,Alluvium
3221,1,3,1,Alluvium
3222,1,3,1,Alluvium
3223,1,3,1,Alluvium
3224,1,3,1,Alluvium
3225,1,3,1,Alluvium
3226,1,3,1,Alluvium
3227,1,3,1,Alluvium
3228,1,3,1,Alluvium
3229,1,3,1,Alluvium
3230,1,3,1,Alluvium
3231,1,3,1,Alluvium
3232,1,3,1,Alluvium
3233,1,3,1,Alluvium
3234,1,3,1,Alluvium
3235,1,3,1,Alluvium
3236,1,3,1,Alluvium
3237,1,3,1,Alluvium
3238,1,3,1,Alluvium
3239,1,3,1,Alluvium
3240,1,3,1,Alluvium
3241,1,3,1,Alluvium
3242,1,3,1,Alluvium
3243,1,3,1,Alluvium
3244,1,3,1,Alluvium
3245,1,3,1,Alluvium
3246,1,3,1,Alluvium
3247,1,3,1,Alluvium
3248,1,3,1,Alluvium
3249,1,3,1,Alluvium
3250,1,3,1,Alluvium
3251,1,3,1,Alluvium
3252,1,3,1,Alluvium
3253,1,3,1,Alluvium
3254,1,3,1,Alluvium
3255,1,3,1,Alluvium
3256,1,3,1,Alluvium
3257,1,3,1,Alluvium
3258,1,3,1,Alluvium
3259,1,3,1,Alluvium
3260,1,3,1,Alluvium
3261,1,3,1,Alluvium
3262,1,3,1,Alluvium
3263,1,3,1,Alluvium
3264,1,3,1,Alluvium
3265,1,3,1,Alluvium
3266,1,3,1,Alluvium
3267,1,3,1,Alluvium
3268,1,3,1,Alluvium
3269,1,3,1,Alluvium
3270,1,3,1,Alluvium
3271,1,3,1,Alluvium
3272,1,3,1,Alluvium
3273,1,3,1,Alluvium
3274,1,3,1,Alluvium
3384,1,3,1,Alluvium
3385,1,3,1,Alluvium
3386,1,3,1,Alluvium
3387,1,3,1,Alluvium
3388,1,3,1,Alluvium
3389,1,3,1,Alluvium
3390,1,3,1,Alluvium
3391,1,3,1,Alluvium
3392,1,3,1,Alluvium
3393,1,3,1,Alluvium
3394,1,3,1,Alluvium
3395,1,3,1,Alluvium
3396,1,3,1,Alluvium
3397,1,3,1,Alluvium
3398,1,3,1,Alluvium
3399,1,3,1,Alluvium
3400,1,3,1,Alluvium
3401,1,3,1,Alluvium
3402,1,3,1,Alluvium
3403,1,3,1,Alluvium
3404,1,3,1,Alluvium
3405,1,3,1,Alluvium
3406,1,3,1,Alluvium
3407,1,3,1,Alluvium
3408,1,3,1,Alluvium
3409,1,3,1,Alluvium
3410,1,3,1,Alluvium
3411,1,3,1,Alluvium
3412,1,3,1,Alluvium
3413,1,3,1,Alluvium
3414,1,3,1,Alluvium
3415,1,3,1,Alluvium
3416,1,3,1,Alluvium
3417,1,3,1,Alluvium
3418,1,3,1,Alluvium
3419,1,3,1,Alluvium
3420,1,3,1,Alluvium
3421,1,3,1,Alluvium
3422,1,3,1,Alluvium
3423,1,3,1,Alluvium
3424,1,3,1,Alluvium
3425,1,3,1,Alluvium
3426,1,3,1,Alluvium
3427,1,3,1,Alluvium
3428,1,3,1,Alluvium
3429,1,3,1,Alluvium
3430,1,3,1,Alluvium
3431,1,3,1,Alluvium
3432,1,3,1,Alluvium
3433,1,3,1,Alluvium
3434,1,3,1,Alluvium
3435,1,3,1,Alluvium
3436,1,3,1,Alluvium
3437,1,3,1,Alluvium
3438,1,3,1,Alluvium
3439,1,3,1,Alluvium
3440,1,3,1,Alluvium
3550,1,3,1,Alluvium
3551,1,3,1,Alluvium
3552,1,3,1,Alluvium
3553,1,3,1,Alluvium
3554,1,3,1,Alluvium
3555,1,3,1,Alluvium
3556,1,3,1,Alluvium
3557,1,3,1,Alluvium
3558,1,3,1,Alluvium
3559,1,3,1,Alluvium
3560,1,3,1,Alluvium
3561,1,3,1,Alluvium
3562,1,3,1,Alluvium
3563,1,3,1,Alluvium
3564,1,3,1,Alluvium
3565,1,3,1,Alluvium
3566,1,3,1,Alluvium
3567,1,3,1,Alluvium
3568,1,3,1,Alluvium
3569,1,3,1,Alluvium
3570,1,3,1,Alluvium
3571,1,3,1,Alluvium
3572,1,3,1,Alluvium
3573,1,3,1,Alluvium
3574,1,3,1,Alluvium
3575,1,3,1,Alluvium
3576,1,3,1,Alluvium
3577,1,3,1,Alluvium
